"ID","GSM773124","GSM773125","GSM773126","GSM773127","GSM773128","GSM773129","GSM773130","GSM773131","GSM773132","GSM773133","GSM773134","GSM773135","GSM773136","GSM773137","GSM773138","GSM773139","GSM773140","GSM773141","GSM773142","GSM773143","GSM773144","GSM773145","GSM773146","GSM773147","GSM773148","GSM773149","GSM773150","GSM773151","GSM773152","GSM773153","GSM773154","GSM773155","GSM773156","GSM773157","GSM773158","GSM773159","GSM773160","GSM773161","GSM773162","GSM773163","GSM773164","GSM773165","GSM773166","GSM773167","GSM773168","GSM773169","GSM773170","GSM773171","GSM773172","GSM773173","GSM773174","GSM773175","GSM773176","GSM773177","GSM773178","GSM773179","GSM773180","GSM773181","GSM773182","GSM773183","GSM773184","GSM773185","GSM773186","GSM773187","GSM773188","GSM773189","GSM773190","GSM773191","GSM773192","GSM773193","GSM773194","GSM773195","GSM773196","GSM773197","GSM773198","GSM773199","GSM773200","GSM773201","GSM773202","GSM773203","GSM773204","GSM773205","GSM773206","GSM773207","GSM773208","GSM773209","GSM773210","GSM773211","GSM773212","GSM773213","GSM773214","GSM773215"
"HBA2///HBA1",7.58483475644231,18.4226355995262,19.1024986187478,10.7567481131622,9.90914754872146,8.87889389941687,14.5295403626816,16.9333794572958,16.0850325460689,9.54273977065515,17.9719195809809,16.7190411545821,17.6544052750779,16.9907133808734,12.1309694688135,9.64244707080289,15.7159378665112,8.46447631960256,16.2947068945108,6.00048457397657,14.5960383024946,6.42419820835527,8.99087546461732,15.6244442187402,13.872799908423,18.4711711037982,15.5688735059154,18.3114068618412,18.2994450488809,12.0970840156512,18.112658395038,12.6064376012543,14.166422028816,13.2875883024405,15.0836122884896,6.94858916759633,16.2755225508484,8.40934425995485,8.9117155467072,11.4846618027799,15.1880942639264,13.6268383597201,16.4701218302689,16.8908342493894,10.7656922010389,14.1348754880715,15.8851815779343,12.8436423754424,10.0083725939908,10.9292214159822,15.0721661080755,17.8033932971187,6.41625369689307,11.0898675377975,12.5519293105477,9.79036478909403,8.42400668053814,10.2666343002313,8.80305586126167,17.8330012373938,9.6981698503571,7.13919319215415,17.7596476619998,13.7166480078814,11.1167468198163,17.2960289432844,18.2983669167661,18.6142389419505,8.5252114871768,6.77468165337325,16.3446773393502,17.0134535360534,15.6710600144606,15.8489260779551,15.523396556095,6.45499836344403,11.5541523320255,9.79522958977007,16.8922226143784,13.5651020783603,14.2902924951575,15.8216843089119,16.2977724812238,14.6552008690853,13.6530801758459,5.99843472874106,14.0070973669907,15.2537920979045,15.9744661265123,15.4100902350429,11.1214687629676,17.0198187374636
"DHRS2",7.6766905397639,11.6158319127228,11.0395291257442,10.1063797294419,11.9851801943397,4.90892816505616,9.735344469539,16.3638490021194,11.0827345183112,8.68059160203733,16.9081345714637,13.0301567236303,16.5324974724455,16.4361633361856,3.46478587321855,13.3683427576241,11.9097656050836,6.64095056331105,9.30536866471962,8.02358803880954,7.95545811658791,12.7180811604726,3.56296282851529,14.9484767437521,8.2628089671208,9.68104861724243,15.0498910811067,11.8807046545556,14.1395993135378,3.21705851330993,12.9836972871069,11.4342320575563,12.6146063307129,8.65575967580617,15.3976311856773,7.1436791210857,14.6963481642583,14.9497264188161,7.48551538274167,10.1911579413531,14.2650435979611,12.4990760118692,8.30899423807154,10.7298246436369,13.8643022366872,12.3421246835242,12.6162409747289,14.3215476466219,3.80641686537957,11.5919009692693,13.948650121018,8.87081780264142,7.28364401937092,10.1140546293304,8.61586868708599,7.81918277596446,5.80639624189784,5.21631128695015,4.4596873464557,8.79288462753301,9.78081860141946,8.58814868835374,10.7102640299144,11.8253245374354,10.0344275824061,16.8167461868165,13.2604579620314,14.0920468483454,7.54963066959787,9.25552669764879,16.2733421365676,16.9206319876673,16.4417608459901,5.18276379494809,14.4408042967711,14.1185112490496,15.1929862511776,7.62827054692964,15.473956195769,14.4451765449126,12.4570037384394,4.26028164385146,11.5874071864488,7.97865898443042,12.3434494635257,14.6821606685742,14.6107711041999,15.1309485611571,15.1436741791703,14.9503371798567,14.8841657482836,16.0061726481302
"PIGR",5.56073329370166,10.8485055797687,10.0532607041548,11.8104310534866,9.8126618669579,5.12865221522753,6.90372521898358,15.1613366177527,7.10021027629763,5.89009156894244,13.2426188795293,13.24342690907,13.0208254553464,15.8485373658903,6.24562305672031,12.7208577222041,6.04089681306746,5.67084316780215,4.51420433676606,6.76676740563052,8.68710619188162,12.3203492836165,7.73811253153953,14.7108494728856,7.66502318091796,13.446811920294,14.6467443225758,9.93199619000314,14.5334209930226,7.84979914918893,13.9461661004574,14.7769727083572,12.7774690319601,7.68346487474662,15.6817023586804,8.99921644893589,14.0652983176251,9.52442026105396,7.07681559705083,5.5145988706063,15.5570268540376,12.9680583428969,11.6376211133433,14.7031087045926,15.6173784994181,14.5461408503254,16.223654830816,15.2431628239694,8.40351485474046,14.6836306684389,16.2855575487581,10.0907343650978,8.79327490638565,5.72553667843106,8.65619601617513,7.52105859127332,9.75126787873254,7.33106024441116,7.07865252745485,10.5260785955363,6.81076440961717,6.50441541345892,9.02662856316077,9.32132383981425,6.01010845347429,14.9609250484101,16.0587823830918,14.459450830535,7.87533160808109,5.61545161084114,17.5115133169946,16.7657004876511,16.635349691858,10.6204672805618,11.8033239190415,12.8126867324429,15.3971698955014,9.59373844832912,11.1699500480138,16.4978097452603,12.7956723970237,10.856814552503,13.2186888535585,8.59104729164439,10.704586702502,12.9699476601462,15.0123277293459,15.4218084336964,15.5550414214581,15.507689357272,15.3208675215398,13.0707146758271
"HLA-B",6.49338314443547,6.28810381616803,6.18763909889141,9.2659080092311,7.5791650596212,6.15628739093406,7.83583567111449,13.7444344348149,6.54546648827411,8.61328484727055,12.1132538066513,10.6623479388146,12.9716100112305,13.4096163396287,5.89166220799394,10.2815359841408,8.81386775032274,6.10195466704688,10.1251163764579,6.33621017994679,5.92122684298079,9.75428291299323,7.03343401443466,15.5881817236598,6.47597818205964,13.3771969711609,13.8227998435976,9.80442146745633,13.9512209580955,6.21519321658085,12.7310941227974,15.7029274997206,12.1986414801688,16.5778152967403,16.0741498271476,6.23670690199535,15.168903200318,13.7225940989566,5.82378247263225,6.97718832090673,14.9851526151406,11.2141308781068,15.031455679051,14.6438618252912,14.725440819357,12.6498983303203,15.6386084342534,14.4610701140331,6.87807544293514,14.4701949308223,12.7045607667999,14.3556676836893,9.84721554827382,7.02828182218392,8.19696106521006,6.31290473164893,11.092215367992,6.59930589022469,5.80922663469028,7.21684284283726,6.21812049154503,6.9863881796303,7.0831388909189,7.59806739242064,6.3724942202455,15.0104625432431,10.5578082989367,11.8050586307911,6.04673768722984,7.49713330367111,13.6421758243637,13.3443930091219,13.6546248413332,15.1806434649346,11.3595519173272,7.61505575502511,14.4339309476654,6.84978664137496,10.6881803585869,13.7573274995618,6.16719331879143,15.1502550213022,14.1512623597814,9.29021933534718,6.08201488044803,10.5094484314531,13.5316982337694,14.6449772240898,15.1485043871562,14.741998840016,14.3913644355887,13.4494711001813
"KRT15///KRT19",5.81017058046932,9.07095545313567,9.67770026465441,6.19506407143836,10.1691232814768,5.1545022001845,4.87567195516624,14.482543287134,6.30403821887283,5.61766287249588,13.5018123106354,11.2476249428724,10.1613586643796,13.4852381252929,7.05742860993357,11.7949640837718,9.97526045518149,5.28108618022458,4.97670731184688,3.94548597533367,8.1086185425172,10.9874558848601,5.61553694842019,12.1614814894192,4.52231317090403,9.96011635816091,13.7666841845824,10.6546091791148,11.4524832139522,8.04359057679455,11.6883596000723,13.352526267008,11.1036681051586,7.65687529995465,12.7772409292722,5.82610353474906,13.4893713308495,14.5534373057544,6.22956677433744,4.10866662841444,14.4971095959544,10.6305765658538,11.8400264881503,12.624482487748,14.6195264962122,12.7759476657028,14.2944915208174,14.772665100456,4.48280956980198,13.9108675485426,11.3411740919172,10.1242505797869,6.20778745610843,4.85249330502894,6.57798464951267,5.5164028822427,10.6158503000216,5.17780221254912,4.76268366914486,4.86021295763439,5.25243458277524,4.97468532068776,4.75041892084888,6.85550390155448,7.26840632093712,14.9011120151163,10.9998309242679,10.7791119495199,5.30468625728788,7.10630643852566,14.140006918857,13.8117559898875,14.4743840727643,11.3191301618719,10.8188058337934,10.6634068890444,14.162501477969,8.53401879045818,9.77955849963024,13.9486866188402,5.47741181616572,11.4760170790717,12.3784411774401,8.25886278634771,9.92386969421736,9.05639114897649,13.9493525419574,14.3581085774009,12.9861495795476,14.0788846472201,14.0558924688852,13.9195616872895
"NEAT1",8.84720771689074,6.3158016851341,9.35300784359353,6.85046190820022,6.3722243003134,7.34440244146226,6.53081362878979,15.4988554379239,7.50168594273621,6.0672880670203,15.3497028057628,11.7411340831932,13.6044374011282,15.8067862255136,9.88041615786437,9.3358146143767,9.50412577146604,8.0478219094562,8.43353536843631,6.13306821296555,8.91721392636764,7.25976209156193,8.34712968341199,15.9149876865538,7.37544784742883,13.0649094530767,14.5950010002574,8.42471218364893,11.1809534221423,8.90780100953391,11.0643924881411,15.6119642264014,12.9076211506735,16.6306510720206,15.5499290264732,6.38505650912902,13.5258511034243,14.1429925109081,5.94555386328472,9.62552986473013,15.4045129399927,12.3591867555761,15.7436615920261,15.3838122745886,14.5859542474208,13.8663323365189,15.8779215473175,14.5586957366711,8.31214781016349,15.3874721343269,14.4440313254135,14.8875919055076,9.76794771662464,9.72435525026656,5.00133838033873,8.85415776665923,9.83279667890067,7.25293975493311,5.98623798352428,10.238619694426,8.48945061279351,7.64812745154988,9.15765514901367,9.24223092409623,6.45218357266708,14.9347735604645,11.1502486736332,12.4831557343646,7.13668357769724,8.5859239769586,15.5109959050627,15.3537257726946,15.3426198825715,15.2837431196535,8.84879818124419,8.56472873866806,14.9522452810186,8.84243520533206,9.16996006652064,14.7612499469824,8.05002275116429,15.4784094062494,14.9757315591674,9.60856901986529,7.17891378466957,13.0346906532358,14.1127164203092,13.9526957528062,15.547978966547,14.4840298484596,14.4614986319331,15.4089400234787
"HSPA1A",6.45808502148651,9.24377379136032,11.3299364533124,9.75054286300243,7.90080644290863,7.46342628302167,5.0737731136224,14.2102299455073,6.91913744250336,9.11292944466074,16.3209626878641,13.7480355704817,15.7581425190045,13.8864205891508,8.81470422070527,13.0771511849883,14.2016185471549,8.55799970634292,10.8090285077119,8.0898159087473,7.28173533689825,10.7534674855074,8.01598365488852,15.6722982607544,9.66818828148469,16.1064341226368,13.5541691236854,11.3889590362329,14.9648778071191,9.31644446222082,13.3403786715523,15.3603361535055,14.4837779966969,16.6284597801869,16.5520611429006,7.64663070811049,15.8737564959961,15.1315475259168,8.99437606719181,6.3748603869973,15.7057781613067,14.3259940286311,15.9878391098948,16.3377542916182,14.9932789716056,14.3004026133125,14.962145912527,14.2834356695704,10.6235523205157,14.8516319347931,14.0913114097227,16.4823116614034,8.17001516706472,5.04320887396809,11.1327760322853,6.89728883734779,12.8045868343476,7.1299217833181,6.81242121108721,9.95854691564029,7.06630450200819,6.35881644758583,9.70859248865036,10.0171703085841,6.14173318487312,14.0833712873676,11.652204130721,13.0783643268146,6.8319912136504,7.46570515805586,15.7377754738829,15.8995528253423,14.482656722905,16.8488185203172,11.4550240580859,11.2843383014746,14.1539636287291,10.9522825981664,11.2646478471156,15.3513844316975,10.1219996630429,16.796331181462,15.9572494421961,13.8273824036065,11.9495932932865,11.2652634126425,13.7929326050001,14.9721182183841,14.541259998573,14.1987673096669,14.6231441832144,13.8823373612495
"LYZ",4.66904377832254,8.00499568902537,8.77837286813649,6.85806805168439,7.05123069675511,5.31462402659645,5.42370925800518,11.4273337981591,5.92374344461586,4.60446279141083,10.2559845402425,11.0573554974373,11.5508958561689,10.4135750433393,6.39288236770861,9.59564538090446,7.71714859484419,5.8713163377777,10.032100843167,4.61252353585894,6.07605236982465,9.97941090407653,5.5058433047678,15.9473196014544,5.27212399497523,13.6884033141298,12.438885396054,11.1415962783838,13.7794423606493,8.15268032487275,11.8718244013608,14.9306126114809,11.3071495680755,15.8448871685739,15.4220286194794,6.01965744103695,15.6591708772763,9.4321702176119,4.7330668576976,5.61454201064444,14.5612043981951,10.8350713895887,15.2054916384153,15.0902943995333,13.6029191955058,10.1101570189541,14.0022084921888,12.7040722239782,6.94599388701932,10.3902872050459,13.149048462446,13.2803329083713,8.29625548935566,6.17665388422174,5.64277087497445,6.06878042725017,9.32503105831069,4.24907362097786,4.96419529121854,4.83960189179601,9.58352096423982,5.58020579650051,5.57775207636294,8.44871515256054,6.21975903313388,11.0369497110963,8.3635303041165,7.61455526136518,7.18704518947402,6.65776860739351,11.8984729070069,11.747966362242,11.5698081504767,14.3326380122502,11.0533964795503,9.88806892054543,12.2607901909013,10.0582623718625,11.5888223652805,12.9578946529344,8.25747741901556,14.3373779945595,13.0799297239602,5.25890705846579,10.7312256771492,9.97778077233011,12.6275612425264,13.1335660943475,14.91122812104,13.471256060759,12.139234768887,13.5063075811003
"LAMP1",5.87539673485442,13.504881043036,12.9003724946185,9.53703975159945,11.6165626274237,5.70937059940211,10.2885200626422,16.8764929653976,9.77732929765602,6.95878468794281,18.4659768551388,16.1307515318206,17.2614246677353,15.9441538328309,9.32574168350108,15.018921693688,14.303095761993,5.93140886222274,12.6921032758264,9.32782880673738,8.96484045343888,12.0531351005364,6.09294948743582,16.1905924845845,13.6351285896038,14.7799039885981,15.2807417767717,12.0960858968372,13.7567960568382,5.98158783052877,14.6964622772348,15.4307040866165,13.6691175867969,16.0581503123773,15.9796529431016,6.46066885473503,16.2454394342052,15.0275777599302,9.83755855600407,9.17037326931457,15.7113900433102,13.5281976848304,15.3843824211151,15.451455833984,15.2162646270239,15.1283488271369,15.7389656998992,15.0431554794723,10.3510385981467,15.3956981296142,15.1682764508287,16.0151057458387,9.65435856049348,11.8371587839207,10.7583481540372,6.49456601663626,10.178627507252,8.96725508362378,8.74877987347562,10.8527791700145,6.31330572093811,6.41292206272837,12.1273656640696,14.323652943682,8.91715424144318,15.9077732248696,17.0129081967761,15.9008361541582,9.3671919408641,8.47059787086636,17.3416925477371,17.0259614012615,16.7484418397824,15.5347588207186,11.9875127311561,12.4885807820578,15.2179501270264,8.99598473979295,13.3935647502196,15.971399852069,12.7835876120185,15.494836838332,14.5018993686932,11.0682946119896,11.221387740083,13.5049555059967,14.7772244880455,15.1989015668461,15.0292742840719,15.1337001371485,15.0666568371371,15.9478537824598
"OLFM4",8.46485610569141,10.7219963207258,8.29420258240687,10.9638353305166,10.33209250907,6.25737841328248,5.32289798121462,15.0364054556267,9.43854029448078,9.51190482042469,12.0341868219632,12.0231097778249,10.2721981948282,15.7611122697498,7.7395916127807,12.8399654906138,8.9862374145699,9.70969040980334,10.3488277233056,5.29478981916765,5.98188917675251,13.1620230546192,9.37304565768989,15.0131307200968,6.76159112207847,13.2072828171109,14.6974345883236,10.2765897157253,11.2385122208789,7.89856511174517,12.6057248849908,12.8114810652661,13.9365551288749,7.34234139743155,14.0816498677,8.21873758409887,12.7231468233867,10.1871912148718,4.98308024784021,6.38165196030462,15.4152235037229,13.4519065293095,10.2720698593414,15.2190172232001,15.4099610062761,16.7115325480412,15.809979092365,15.1479998420602,6.24311494127965,15.6344423899531,15.5786999497556,11.0037638450006,8.71772097115659,7.71604432959621,6.10134331952699,8.19695614884498,12.6230218338557,6.12717307905479,10.2758684205419,9.89854999661815,6.06688137855595,7.64825690445042,9.19337751056436,8.12147653364573,8.01385302983957,13.7129031010429,15.6006127559518,14.6259428054876,7.58804746908961,7.13494990809567,16.385717503869,15.4551762894511,16.2348698101731,13.8508607454858,10.3151608863488,14.0758217321688,15.0049577802111,7.3892742509022,10.5293915090971,16.5789283969758,9.45168712265835,13.8744050764095,13.8782712863451,8.5037700957917,9.97295107543154,5.89859050480208,14.7095308150098,14.9998723144298,15.0114544060905,14.6206494078595,15.3458071714732,10.6232688088093
